,quarter,game_clock,drive_num,drive_count,poss,down,dist,yl,terr,play_type,gain_loss,gnls_to_yl,gnls_to_terr,rusher,run_dir,passer,pass_dir,pass_depth,intended,pass_result,intBy,int_terr,int_yl,pbuBy,hurriedBy,kicker,kick_yards,kick_terr,kick_yl,kick_result,fg_dist,fg_result,xp_type,xp_result,retBy,ret_yards,ret_terr,ret_yl,tackler1,tackler2,fumble_num,fumbleBy,recoveredBy,recovery_team,recov_terr,recov_yl,presnap_pen,penalty,penOn,pen_team,pen_yards,touchdown,no_play,timeout,away_points_on_play,home_points_on_play,away_points,home_points
82,2,13:54,11,4,FMC,3,6,-32,FMC,Pass,11.0,43,FMC,,,Ty Tremba,M,,Jack O'Hearen,Complete,,,,,,,,,,,,,,,,,,,Erik Williams,,,,,,,,,,,,,,,,0,0,3.0,9.0
83,2,13:54,11,5,FMC,1,10,-43,FMC,Run,2.0,45,FMC,Ty Tremba,R,,,,,,,,,,,,,,,,,,,,,,,,Brody Robinson,,,,,,,,,,,,,,,,0,0,3.0,9.0
84,2,13:54,11,6,FMC,2,8,-45,FMC,Run,4.0,49,FMC,Mitch Wagner,M,,,,,,,,,,,,,,,,,,,,,,,,Jacob Horton,Ryan Enright,,,,,,,,,,,,,,,0,0,3.0,9.0
85,2,13:54,11,7,FMC,3,4,-49,FMC,Run,9.0,42,LVC,Ty Tremba,M,,,,,,,,,,,,,,,,,,,,,,,,Tyler Hartl,,,,,,,,,,,,,,,,0,0,3.0,9.0
86,2,13:54,11,8,FMC,1,10,42,LVC,Run,3.0,39,LVC,Dante Wilson,M,,,,,,,,,,,,,,,,,,,,,,,,Noah Caldani,,,,,,,,,,,,,,,,0,0,3.0,9.0
87,2,13:54,11,9,FMC,2,7,39,LVC,Pass,-6.0,45,LVC,,,Ty Tremba,,,,Sack,,,,,,,,,,,,,,,,,,,Jake Marcus,,,,,,,,,,,,,,,,0,0,3.0,9.0
88,2,13:54,11,10,FMC,3,13,45,LVC,Run,6.0,39,LVC,Mitch Wagner,L,,,,,,,,,,,,,,,,,,,,,,,,Luke Pollock,Alex Brown,,,,,,,,,,,,,,,0,0,3.0,9.0
89,2,13:54,11,11,FMC,4,7,39,LVC,Punt,,,,,,,,,,,,,,,,Laurence Miller,39,LVC,0,Touchback,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
90,2,13:54,11,12,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
91,2,08:34,12,0,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
