School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
McMurry,War Hawks,"Abilene, TX",ASC,3,Turf,1019,McMurry,http://www.mcmurrysports.com//sports/football/schedule/2021,http://www.mcmurrysports.com//sports/football/schedule/2022
Merchant Marine,Mariners,"Kings Point, NY",NEWMAC,1,Turf,1007,Merchant Marine,http://www.usmmasports.com//sports/football/schedule/2021,http://www.usmmasports.com//sports/football/schedule/2022
Methodist,Monarchs,"Fayetteville, NC",USAC,3,Grass,1974,Methodist,http://www.mumonarchs.com//sports/football/schedule/2021,http://www.mumonarchs.com//sports/football/schedule/2022
Middlebury,Panthers,"Middlebury, VT",NESCAC,1,Turf,2541,Middlebury,http://athletics.middlebury.edu/sports/football/schedule/2021,http://athletics.middlebury.edu/sports/football/schedule/2022
Millikin,Big Blue,"Decatur, IL",CCIW,5,Turf,1869,MILLIKIN,https://athletics.millikin.edu/sports/football/schedule/2021,https://athletics.millikin.edu/sports/football/schedule/2022
Millsaps,Majors,"Jackson, MS",SAA,3,Turf,768,Millsaps,http://www.gomajors.com/sports/football/schedule/2021,http://www.gomajors.com/sports/football/schedule/2022
Minnesota-Morris,Cougars,"Morris, MN",UMAC,6,Turf,1349,Minnesota Morris,http://morriscougars.com/sports/football/schedule/2021,http://morriscougars.com/sports/football/schedule/2022
Misericordia,Cougars,"Dallas, PA",MAC,1,Turf,1584,Misericordia,http://athletics.misericordia.edu/sports/football/schedule/2021,http://athletics.misericordia.edu/sports/football/schedule/2022
MIT,Engineers,"Cambridge, MA",NEWMAC,1,Turf,4487,MIT,http://www.mitathletics.com/sports/football/schedule/2021,http://www.mitathletics.com/sports/football/schedule/2022
Monmouth,Scots,"Monmouth, IL",MWC,5,Turf,897,Monmouth (IL),http://monmouthscots.com//sports/football/schedule/2021,http://monmouthscots.com//sports/football/schedule/2022
Montclair State,Red Hawks,"Upper Montclair, NJ",NJAC,2,Turf,14745,Montclair State,http://www.montclairathletics.com/sports/football/schedule/2021,http://www.montclairathletics.com/sports/football/schedule/2022
Moravian,Greyhounds,"Bethlehem, PA",CC,2,Turf,1912,Moravian University,http://moraviansports.com//sports/fball/2021-22/schedule,http://moraviansports.com//sports/fball/2022-23/schedule
Morrisville State,Mustangs,"Morrisville, NY",E8,2,Turf,2283,Morrisville St.,https://morrisvillemustangs.com/sports/football/schedule/2021,https://morrisvillemustangs.com/sports/football/schedule/2022
Mount St. Joseph,Lions,"Cincinnati, OH",HCAC,4,Turf,1006,Mt. St. Joseph,http://www.msjsports.com//sports/fball/2021-22/schedule,http://www.msjsports.com//sports/fball/2022-23/schedule
Mount Union,Purple Raiders,"Alliance, OH",OAC,4,Turf,1978,Mount Union,http://athletics.mountunion.edu/sports/football/schedule/2021,http://athletics.mountunion.edu/sports/football/schedule/2022
Muhlenberg,Mules,"Allentown, PA",CC,2,Turf,2190,Muhlenberg,http://muhlenbergsports.com//sports/football/schedule/2021,http://muhlenbergsports.com//sports/football/schedule/2022
Muskingum,Muskies,"New Concord, OH",OAC,4,Turf,1355,Muskingum,http://fightingmuskies.com//sports/fball/2021-22/schedule,http://fightingmuskies.com//sports/fball/2022-23/schedule
N.C. Wesleyan,Battling Bishops,"Rocky Mount, NC",USAC,3,Grass,1600,N.C. Wesleyan,http://www.ncwcsports.com/sports/fball/2021-22/schedule,http://www.ncwcsports.com/sports/fball/2022-23/schedule
Nebraska Wesleyan,Prairie Wolves,"Lincoln, NE",ARC,5,Turf,1692,Neb. Wesleyan,http://www.nwusports.com//sports/football/schedule/2021,http://www.nwusports.com//sports/football/schedule/2022
Nichols,Bison,"Dudley, MA",CCC,1,Turf,1217,Nichols,http://www.nicholsathletics.com//sports/football/schedule/2021,http://www.nicholsathletics.com//sports/football/schedule/2022
North Central (Ill.),Cardinals,"Naperville, IL",CCIW,5,Turf,2530,North Central,http://northcentralcardinals.com//sports/football/schedule/2021,http://northcentralcardinals.com//sports/football/schedule/2022
North Park,Vikings,"Chicago, IL",CCIW,5,Turf,1723,North Park,http://athletics.northpark.edu//sports/football/schedule/2021,http://athletics.northpark.edu//sports/football/schedule/2022
Northwestern (Minn.),Eagles,"Roseville, MN",UMAC,6,Turf,1603,Northwestern (MN),http://unweagles.com/sports/football/schedule/2021,http://unweagles.com/sports/football/schedule/2022
Norwich,Cadets,"Northfield, VT",NEWMAC,1,Turf,2602,Norwich,http://www.norwichathletics.com//sports/football/schedule/2021,http://www.norwichathletics.com//sports/football/schedule/2022
Oberlin,Yeomen,"Oberlin, OH",NCAC,4,Turf,2882,Oberlin College,http://www.goyeo.com//sports/football/schedule/2021,http://www.goyeo.com//sports/football/schedule/2022
Ohio Northern,Polar Bears,"Ada, OH",OAC,4,Turf,2078,Ohio Northern,https://www.onusports.com/sports/fball/2021-22/schedule,https://www.onusports.com/sports/fball/2022-23/schedule
Ohio Wesleyan,Battling Bishops,"Delaware, OH",NCAC,4,Turf,1485,Ohio Wesleyan,http://www.battlingbishops.com//sports/football/schedule/2021,http://www.battlingbishops.com//sports/football/schedule/2022
Olivet,Comets,"Olivet, MI",MIAA,4,Turf,959,Olivet,http://www.olivetcomets.com/sports/fball/2021-22/schedule,http://www.olivetcomets.com/sports/fball/2022-23/schedule
Otterbein,Cardinals,"Westerville, OH",OAC,4,Turf,2307,Otterbein University,http://www.otterbeincardinals.com//sports/football/schedule/2021,http://www.otterbeincardinals.com//sports/football/schedule/2022
Pacific Lutheran,Lutes,"Tacoma, WA",NWC,6,Turf,2623,Pacific Lutheran,http://golutes.com/sports/football/schedule/2021,http://golutes.com/sports/football/schedule/2022
Pacific,Boxers,"Forest Grove, OR",NWC,6,Turf,1724,Pacific University,http://www.goboxers.com//sports/football/schedule/2021,http://www.goboxers.com//sports/football/schedule/2022
Plymouth State,Panthers,"Plymouth, NH",MASCAC,1,Turf,3659,Plymouth State,http://athletics.plymouth.edu/sports/football/schedule/2021,http://athletics.plymouth.edu/sports/football/schedule/2022
Pomona-Pitzer,Sagehens,"Claremont, CA",SCIAC,6,Grass,2515,Pomona-Pitzer,http://www.pe.pomona.edu/sports/fball/2021-22/schedule,http://www.pe.pomona.edu/sports/fball/2022-23/schedule
Puget Sound,Loggers,"Tacoma, WA",NWC,6,Grass,2271,Puget Sound,http://www.loggerathletics.com/sports/football/schedule/2021,http://www.loggerathletics.com/sports/football/schedule/2022
Randolph-Macon,Yellow Jackets,"Ashland, VA",ODAC,3,Turf,1513,Randolph-Macon,https://rmcathletics.com/sports/fball/2021-22/schedule,https://rmcathletics.com/sports/fball/2022-23/schedule
