PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
67,(RV) Ursinus,D,UC,2,,6.0,1.0,0.0,10.0,-33.0,Run,Rush,-2.0,Samuel Ragland,,,,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:47,107,7,0,-7,3,3,3,,,,,,,
68,(RV) Ursinus,D,UC,2,,6.0,2.0,2.0,12.0,-31.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Zachary Throne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:47,107,7,0,-7,3,3,3,,,,,,,
69,(RV) Ursinus,D,UC,2,,6.0,3.0,3.0,12.0,-31.0,Run,Rush,1.0,Jack Psenicska,,,,,,,Bobby Buchys,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,01:47,107,7,0,-7,3,3,3,,,,,,,
70,(RV) Ursinus,K,UC,2,,,,4.0,11.0,-32.0,Punt Ret,Return,,,,,,,,,,,True,Dan DiBeneditto,,FMC,Dan DiBeneditto,Dan DiBeneditto,0,31.0,,,,,Billy Cook,37.0,31.0,Return,,,,,,,,,,,,01:47,107,7,0,-7,3,3,3,,,,,,,
71,(RV) Ursinus,O,FMC,2,,6.0,1.0,0.0,10.0,-20.0,Run,Rush,17.0,Keshon Farmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:48,48,0,7,-7,3,3,3,,,,,,,
72,(RV) Ursinus,O,FMC,2,,6.0,2.0,1.0,10.0,-37.0,Pass,Sack,-2.0,,Logan Clouse,Sack,,,,,Jack Ginley III,Ryan Bodolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:48,48,0,7,-7,3,3,3,,,,,,,
73,(RV) Ursinus,O,FMC,2,,6.0,3.0,2.0,12.0,-35.0,Run,Rush,0.0,Logan Clouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:48,48,0,7,-7,3,3,3,,,,,,,
74,(RV) Ursinus,O,FMC,2,,6.0,4.0,3.0,12.0,-35.0,Run,Rush,1.0,Keshon Farmer,,,,,,,William Tatlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,00:48,48,0,7,-7,3,3,3,,,,,,,
75,(RV) Ursinus,,FMC,2,,,,4.0,11.0,-36.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursinus,,,,,,00:48,48,0,7,-7,3,3,3,,,,,,,
76,(RV) Ursinus,K,FMC,2,,,,4.0,11.0,-36.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,J. Rodenberger,34.0,30.0,Out of bounds,,,,,,,,,,,,00:08,8,0,7,-7,3,3,2,,,,,,,
77,(RV) Ursinus,D,UC,2,,7.0,1.0,0.0,10.0,-30.0,Run,Rush,-1.0,Jack Psenicska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,00:01,1,7,0,-7,3,2,3,illegal formation,UC,,,,,5.0
78,(RV) Ursinus,D,UC,2,,7.0,2.0,1.0,15.0,-25.0,Run,Rush,-1.0,Jack Psenicska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Half,00:01,1,7,0,-7,3,2,3,,,,,,,
79,(RV) Ursinus,K,UC,3,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_kick,15:00,1800,7,0,-7,3,3,3,,,,,,,
80,(RV) Ursinus,K,FMC,3,,,,,,,KO,Return,,,,,,,,,Marc Clayton,Bailey Delp,,,,,,Matt Scully,15,-20.0,Dakota Wherrity,60.0,-5.0,Return,,,,,,,,,,,,,,,,15:00,1800,0,7,-7,3,3,3,,,,,,,
81,(RV) Ursinus,O,FMC,3,,7.0,1.0,0.0,10.0,-20.0,Pass,Interception,0.0,,Logan Clouse,Interception,,,Aaron Diamond,,,,,,,,,Aaron Diamond,0,,,,,,,,,,,,,,,,,,,,Interception,14:52,1792,0,7,-7,3,3,3,,,,,,,
82,(RV) Ursinus,D,UC,3,,8.0,1.0,0.0,10.0,-50.0,Pass,Complete,13.0,,Jack Psenicska,Complete,Billy Cook,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
83,(RV) Ursinus,D,UC,3,,8.0,2.0,1.0,10.0,37.0,Run,Rush,6.0,Samuel Ragland,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
84,(RV) Ursinus,D,UC,3,,8.0,3.0,2.0,4.0,31.0,Pass,Complete,4.0,,Jack Psenicska,Complete,Samuel Ragland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
85,(RV) Ursinus,D,UC,3,,8.0,4.0,1.0,10.0,27.0,Run,Rush,2.0,Michael D'Amico,,,,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
86,(RV) Ursinus,D,UC,3,,8.0,5.0,2.0,8.0,25.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Samuel Ragland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
87,(RV) Ursinus,D,UC,3,,8.0,6.0,3.0,8.0,25.0,Pass,Complete,14.0,,Jack Psenicska,Complete,Samuel Ragland,,,,Kell Hall,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
88,(RV) Ursinus,D,UC,3,,8.0,7.0,1.0,10.0,11.0,Run,Rush,10.0,Samuel Ragland,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
89,(RV) Ursinus,,UC,3,,,,1.0,1.0,1.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin & Marsh,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
90,(RV) Ursinus,D,UC,3,,8.0,8.0,1.0,1.0,1.0,Run,Rush,0.0,Samuel Ragland,,,,,,,Jacob Hille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,7,0,-7,2,3,2,,,,,,,
