PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
168,Neb. Wesleyan,D,NWU,4,,13.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,4.0,Logan Evans,,,,,,,Wyatt Folkerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:03,243,14,50,36,3,2,3,,,,,,,
169,Neb. Wesleyan,D,NWU,4,,13.0,2.0,2.0,6.0,-29.0,Gold Zone,Run,Rush,1.0,Evan Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:03,243,14,50,36,3,2,3,,,,,,,
170,Neb. Wesleyan,D,NWU,4,,13.0,3.0,3.0,5.0,-30.0,Gold Zone,Pass,Complete,23.0,,Evan Johnson,Complete,Brody Marshall,,,,Kaleb Lamphier,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:03,243,14,50,36,3,2,3,,,,,,,
171,Neb. Wesleyan,D,NWU,4,,13.0,4.0,1.0,10.0,,,Pass,Complete,19.0,,Evan Johnson,Complete,Trace Leners,,,,Justin Grieff,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:03,243,14,50,36,3,2,3,,,,,,,
172,Neb. Wesleyan,D,NWU,4,,13.0,5.0,1.0,10.0,,,Pass,Incomplete,0.0,,Evan Johnson,Incomplete,Logan Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:03,243,14,50,36,3,2,3,,,,,,,
173,Neb. Wesleyan,D,NWU,4,,13.0,6.0,2.0,10.0,,,Pass,Complete,5.0,,Evan Johnson,Complete,Logan Evans,,,,Colin Schrader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:03,243,14,50,36,3,2,3,,,,,,,
174,Neb. Wesleyan,D,NWU,4,,13.0,7.0,3.0,5.0,,,Pass,Sack,-9.0,,Evan Johnson,Sack,,,,,Blake Blattner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:03,243,14,50,36,3,2,3,,,,,,,
175,Neb. Wesleyan,D,NWU,4,,13.0,8.0,4.0,14.0,,,Pass,Complete,7.0,,Evan Johnson,Complete,Jonah Isakson,,,,Jace Glenn,Colin Schrader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,04:03,243,14,50,36,3,2,3,,,,,,,
176,Neb. Wesleyan,,War,4,,,,1.0,10.0,,,Kneel,Kneel,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:06,66,50,14,36,3,3,2,,,,,,,
177,Neb. Wesleyan,,War,4,,,,2.0,11.0,,,Kneel,Kneel,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:06,66,50,14,36,3,3,2,,,,,,,
